Name,Latitude,Longitude,Elevation
Hertz Rent A Car,32,110,1015
Elegance Alterations,39,85,269
Chick-fil-A,40,74,82
Kings Oak,38,90,226
China 1,34,119,154
Core,39,119,1512
The Parking Spot,31,110,890
Romano's Macaroni Grill,36,86,241
"Roast, Inc",32,110,987
Orangetheory Fitness Downtown Indianapolis,38,90,280
Wienerschnitzel,36,86,116
Raising Cane's Chicken Fingers,39,119,1575
La Fusion ,39,119,1577
Nola Mix Records,28,82,70
Mid-City Theatre,36,87,144
Magical Sweet Shop,32,111,633
Ninja Bao,36,86,113
Extended Stay America - Tampa - Airport - N. Westshore Blvd.,32,110,2777
El Checo Mexican Food,31,110,824
The Vegan Burrito,32,111,791
St Mary's Seminary,34,119,335
Los Padres fence,34,119,41
Lodgepole Cafe,39,119,2529
Kumquat Growers,28,82,64
Broadway Veterinary Hospital,43,92,320
Mission Historical Park & Rose Gardens,34,119,104
Renewal by Andersen of Boise,43,116,863
Bear Canyon Painting Contractors,32,110,872
Coach's All American Bar & Grill,31,110,876
Rockin' Z Doggie Ranch,31,110,1077
OnTrac,43,116,880
Edmonton Convention Centre,53,113,643
Sawmill Run Restaurant,32,110,2401
Shiatsu Rincon,34,119,141
Santa Barbara Botanic Garden,34,119,231
O鈥橞rien鈥檚 Southern Diner,36,87,132
Phoenix Animal Rescue,40,75,219
Fremont Campground,34,119,353
Picotte Windchimes,34,119,371
German Food Station,32,111,673
Lockwood Market,39,119,1333
Santa Barbara Tamales To Go,34,119,107
Drake Painting,43,116,912
Rancho Palomino Santa Barbata,34,119,162
Mesa Moving and Storage,43,116,927
Vedanta Hindu Temple & Bookstore,34,119,251
Food Lion Inc Store Nbr 693,36,87,208
Stems by Stacy,38,90,287
Pride Mechanical,32,110,937
Access Lock and Key,35,86,254
Silly Safaris,39,85,246
United Drain & Sewer Service,34,119,91
Highland Ranch Homeowners Association,39,119,1453
Civano Nursery Inc,32,110,868
McDonald's,43,116,917
Spring Creek Brewing,43,116,981
Vista Feed & Supply,31,110,943
Vail Electric,32,110,975
Q Nails,38,90,274
Ray's Solar Solutions,31,110,887
High Ridge Animal Hospital,38,90,271
T&A Performance,39,119,1326
Galena Creek Regional Park,39,119,1857
Timeless Sage,39,75,160
Tim Hortons,53,113,723
Mt Lemmon,32,110,2790
Best Kept Secret,32,111,663
Serr's Towing,31,111,962
The Golf Club at Vistoso,32,110,899
113 Automotive,39,75,181
Belle Harbour Marina,28,82,2
ABC Roofing,39,119,1448
Gutter Systems of Southern Az,32,110,968
Calvin Hobson Photography,39,119,1822
Robdogs,32,110,1370
Bricks And Minifigs,39,119,1457
Gil's Hardware,35,86,158
Discount Garage Doors,39,119,1418
North Valley Self Storage,39,119,1595
Wi-Power Internet & Phone,32,111,625
7 Falls Hike,34,119,337
Great Basin Termite & Pest Control,39,119,1531
Lake Jovita Golf and Country Club,28,82,53
Callahan Park,39,119,1681
